20184645 김영찬
2021년 09월 21일 19시 00분 현재 날씨
도시,온도,습도
강릉,24.9,64
강진군,23.3,76
강화,22.8,83
거제,22.5,86
거창,20.4,88
경주시,23.2,91
고산,22.7,93
고창,22.3,81
고창군,21.5,83
고흥,22.1,84
광양시,23.2,83
광주,22.9,94
구미,22.3,91
군산,23.0,82
금산,22.1,82
김해시,22.4,90
남원,22.7,84
남해,22.2,87
대관령,17.3,93
대구,23.2,97
대전,23.1,81
동두천,21.8,83
동해,22.9,73
목포,23.4,79
문경,20.3,93
밀양,22.7,92
백령도,18.7,82
보령,22.8,84
보성군,22.6,86
보은,21.8,84
봉화,18.3,97
부산,22.7,92
부안,21.9,72
부여,21.9,84
북강릉,22.5,71
북창원,23.2,92
북춘천,20.5,90
산청,21.3,94
상주,23.6,77
서귀포,22.7,84
서산,21.8,87
서울,23.3,77
성산,22.8,83
세종,22.0,80
속초,23.1,66
수원,23.1,80
순창군,22.3,84
순천,20.6,95
안동,22.1,90
양산시,23.2,92
양평,22.2,86
여수,23.8,83
영광군,22.0,82
영덕,20.3,95
영월,20.9,87
영주,20.8,90
영천,22.3,93
완도,22.7,80
울릉도,22.3,100
울산,23.8,93
울진,23.1,78
원주,22.3,79
의령군,22.2,90
의성,20.9,99
이천,22.8,76
인제,20.0,90
인천,22.9,71
임실,21.2,93
장수,21.3,84
장흥,22.6,74
전주,23.0,79
정선군,20.3,90
정읍,22.3,78
제주,24.4,80
제천,19.6,98
진도군,20.9,92
진주,22.9,86
창원,22.4,88
천안,21.5,87
철원,21.5,93
청송군,19.5,94
청주,23.5,72
추풍령,22.0,78
춘천,23.2,74
충주,22.5,82
태백,18.7,82
통영,23.0,89
파주,21.7,86
포항,24.9,83
함양군,21.3,84
합천,22.0,96
해남,20.6,88
홍성,23.0,82
홍천,21.2,87
흑산도,22.9,90
